calc_id,boundary_condition_NZ,boundary_condition_X,boundary_condition_Y,boundary_condition_NX,boundary_condition_NY,boundary_condition_Z,load_time,rock_young_constant,rock_alpha_constant,concrete_init_temp,concrete_cheat,concrete_dt,concrete_norm_coeff,concrete_young_constant,concrete_alpha_constant,concrete_strength_time,steel_init_temp,bentonite_init_temp,bentonite_cheat,bentonite_dt,bentonite_young_constant,bentonite_alpha_constant,rw_init_temp,rw_cheat,rw_dt,rw_young_constant,rw_alpha_constant,rw_norm_coeff
7092,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.3253906249999998,1.0530273437500002,8900390625.0,1.1826855468749999e-05,1636031.25,24.087890625,36.2265625,1290.56640625,0.8212890625,4901367187.5,6.0634765625e-06,44.3984375,737.34375,2.66765625,10134765625.0,4.2783203125e-06,0.9686523437500001
7093,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,0.9549804687500001,8900390625.0,1.1826855468749999e-05,1636031.25,24.087890625,36.2265625,1290.56640625,0.8212890625,4901367187.5,6.0634765625e-06,44.3984375,737.34375,2.66765625,10134765625.0,4.2783203125e-06,0.9686523437500001
7094,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,11689453125.0,1.1826855468749999e-05,1636031.25,24.087890625,36.2265625,1290.56640625,0.8212890625,4901367187.5,6.0634765625e-06,44.3984375,737.34375,2.66765625,10134765625.0,4.2783203125e-06,0.9686523437500001
7095,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,8900390625.0,9.05009765625e-06,1636031.25,24.087890625,36.2265625,1290.56640625,0.8212890625,4901367187.5,6.0634765625e-06,44.3984375,737.34375,2.66765625,10134765625.0,4.2783203125e-06,0.9686523437500001
7096,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,8900390625.0,1.1826855468749999e-05,1602281.25,24.087890625,36.2265625,1290.56640625,0.8212890625,4901367187.5,6.0634765625e-06,44.3984375,737.34375,2.66765625,10134765625.0,4.2783203125e-06,0.9686523437500001
7097,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,8900390625.0,1.1826855468749999e-05,1636031.25,27.439453125,36.2265625,1290.56640625,0.8212890625,4901367187.5,6.0634765625e-06,44.3984375,737.34375,2.66765625,10134765625.0,4.2783203125e-06,0.9686523437500001
7098,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,8900390625.0,1.1826855468749999e-05,1636031.25,24.087890625,43.9765625,1290.56640625,0.8212890625,4901367187.5,6.0634765625e-06,44.3984375,737.34375,2.66765625,10134765625.0,4.2783203125e-06,0.9686523437500001
7099,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,8900390625.0,1.1826855468749999e-05,1636031.25,24.087890625,36.2265625,1160.80078125,0.8212890625,4901367187.5,6.0634765625e-06,44.3984375,737.34375,2.66765625,10134765625.0,4.2783203125e-06,0.9686523437500001
7100,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,8900390625.0,1.1826855468749999e-05,1636031.25,24.087890625,36.2265625,1290.56640625,0.9685546875,4901367187.5,6.0634765625e-06,44.3984375,737.34375,2.66765625,10134765625.0,4.2783203125e-06,0.9686523437500001
7101,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,8900390625.0,1.1826855468749999e-05,1636031.25,24.087890625,36.2265625,1290.56640625,0.8212890625,4065429687.5,6.0634765625e-06,44.3984375,737.34375,2.66765625,10134765625.0,4.2783203125e-06,0.9686523437500001
7102,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,8900390625.0,1.1826855468749999e-05,1636031.25,24.087890625,36.2265625,1290.56640625,0.8212890625,4901367187.5,8.122460937499999e-06,44.3984375,737.34375,2.66765625,10134765625.0,4.2783203125e-06,0.9686523437500001
7103,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,8900390625.0,1.1826855468749999e-05,1636031.25,24.087890625,36.2265625,1290.56640625,0.8212890625,4901367187.5,6.0634765625e-06,37.6484375,737.34375,2.66765625,10134765625.0,4.2783203125e-06,0.9686523437500001
7104,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,8900390625.0,1.1826855468749999e-05,1636031.25,24.087890625,36.2265625,1290.56640625,0.8212890625,4901367187.5,6.0634765625e-06,44.3984375,804.53125,2.66765625,10134765625.0,4.2783203125e-06,0.9686523437500001
7105,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,8900390625.0,1.1826855468749999e-05,1636031.25,24.087890625,36.2265625,1290.56640625,0.8212890625,4901367187.5,6.0634765625e-06,44.3984375,737.34375,2.09203125,10134765625.0,4.2783203125e-06,0.9686523437500001
7106,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,8900390625.0,1.1826855468749999e-05,1636031.25,24.087890625,36.2265625,1290.56640625,0.8212890625,4901367187.5,6.0634765625e-06,44.3984375,737.34375,2.66765625,11455078125.0,4.2783203125e-06,0.9686523437500001
7107,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,8900390625.0,1.1826855468749999e-05,1636031.25,24.087890625,36.2265625,1290.56640625,0.8212890625,4901367187.5,6.0634765625e-06,44.3984375,737.34375,2.66765625,10134765625.0,4.633789062500001e-06,0.9686523437500001
7108,1892207031.25,7433964843.75,7749843750.0,9158378906.25,10224843750.0,2182402343.75,5.042197265625,56260742187.5,7.1681640625e-06,23.40234375,2012.63671875,1.149140625,1.0530273437500002,8900390625.0,1.1826855468749999e-05,1636031.25,24.087890625,36.2265625,1290.56640625,0.8212890625,4901367187.5,6.0634765625e-06,44.3984375,737.34375,2.66765625,10134765625.0,4.2783203125e-06,0.9651367187500001
